"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-05-31,1
2,2,2,2020-06-01,2
0,0,0,2020-06-02,NA
1,1,1,2020-06-03,1
2,2,2,2020-06-04,2
1,1,1,2020-06-05,1
1,1,1,2020-06-06,1
0,0,0,2020-06-07,NA
0,0,0,2020-06-08,NA
2,2,2,2020-06-09,2
0,0,0,2020-06-10,NA
1,1,2,2020-06-11,1
3,3,4,2020-06-12,3
1,1,2,2020-06-13,1
0,0,1,2020-06-14,NA
1,1,2,2020-06-15,1
2,2,3,2020-06-16,2
1,1,2,2020-06-17,1
0,0,1,2020-06-18,NA
2,2,4,2020-06-19,2
2,2,4,2020-06-20,2
0,0,2,2020-06-21,NA
2,2,4,2020-06-22,2
0,0,2,2020-06-23,NA
1,1,3,2020-06-24,1
3,3,5,2020-06-25,3
0,0,2,2020-06-26,NA
1,1,4,2020-06-27,1
1,1,4,2020-06-28,1
5,4,8,2020-06-29,4
3,2,6,2020-06-30,2
5,4,8,2020-07-01,4
4,3,8,2020-07-02,3
3,2,7,2020-07-03,2
3,2,7,2020-07-04,2
4,2,8,2020-07-05,2
4,2,9,2020-07-06,2
8,6,14,2020-07-07,6
4,1,10,2020-07-08,1
5,2,13,2020-07-09,2
