"dt_evoluca","n.casos"
2020-01-06,1
2020-01-17,1
2020-01-19,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-07,1
2020-02-09,1
2020-02-14,1
2020-02-19,1
2020-02-22,1
2020-03-03,2
2020-03-06,1
2020-03-08,1
2020-03-09,2
2020-03-10,1
2020-03-11,1
2020-03-13,1
2020-03-14,3
2020-03-17,4
2020-03-18,5
2020-03-19,11
2020-03-20,10
2020-03-21,9
2020-03-22,9
2020-03-23,17
2020-03-24,16
2020-03-25,21
2020-03-26,21
2020-03-27,14
2020-03-28,22
2020-03-29,21
2020-03-30,28
2020-03-31,44
2020-04-01,34
2020-04-02,51
2020-04-03,43
2020-04-04,49
2020-04-05,56
2020-04-06,46
2020-04-07,53
2020-04-08,62
2020-04-09,67
2020-04-10,72
2020-04-11,67
2020-04-12,103
2020-04-13,99
2020-04-14,83
2020-04-15,113
2020-04-16,115
2020-04-17,126
2020-04-18,130
2020-04-19,152
2020-04-20,173
2020-04-21,147
2020-04-22,187
2020-04-23,173
2020-04-24,221
2020-04-25,246
2020-04-26,236
2020-04-27,201
2020-04-28,269
2020-04-29,273
2020-04-30,294
2020-05-01,260
2020-05-02,282
2020-05-03,277
2020-05-04,276
2020-05-05,255
2020-05-06,264
2020-05-07,244
2020-05-08,228
2020-05-09,234
2020-05-10,237
2020-05-11,240
2020-05-12,256
2020-05-13,212
2020-05-14,232
2020-05-15,211
2020-05-16,217
2020-05-17,196
2020-05-18,222
2020-05-19,181
2020-05-20,191
2020-05-21,184
2020-05-22,200
2020-05-23,205
2020-05-24,170
2020-05-25,190
2020-05-26,155
2020-05-27,167
2020-05-28,162
2020-05-29,158
2020-05-30,122
2020-05-31,139
2020-06-01,155
2020-06-02,128
2020-06-03,148
2020-06-04,114
2020-06-05,123
2020-06-06,133
2020-06-07,96
2020-06-08,95
2020-06-09,102
2020-06-10,99
2020-06-11,99
2020-06-12,91
2020-06-13,76
2020-06-14,83
2020-06-15,87
2020-06-16,87
2020-06-17,82
2020-06-18,68
2020-06-19,74
2020-06-20,53
2020-06-21,53
2020-06-22,37
2020-06-23,31
2020-06-24,39
2020-06-25,35
2020-06-26,16
2020-06-27,17
2020-06-28,22
2020-06-29,7
2020-06-30,1
