"dt_sin_pri","n.casos"
2020-02-16,1
2020-02-28,2
2020-02-29,1
2020-03-03,1
2020-03-07,1
2020-03-08,2
2020-03-09,2
2020-03-10,1
2020-03-11,2
2020-03-12,5
2020-03-13,6
2020-03-14,1
2020-03-15,6
2020-03-16,7
2020-03-17,12
2020-03-18,18
2020-03-19,10
2020-03-20,15
2020-03-21,15
2020-03-22,11
2020-03-23,15
2020-03-24,16
2020-03-25,19
2020-03-26,16
2020-03-27,13
2020-03-28,13
2020-03-29,12
2020-03-30,13
2020-03-31,9
2020-04-01,19
2020-04-02,11
2020-04-03,17
2020-04-04,12
2020-04-05,12
2020-04-06,18
2020-04-07,15
2020-04-08,14
2020-04-09,17
2020-04-10,17
2020-04-11,9
2020-04-12,22
2020-04-13,11
2020-04-14,8
2020-04-15,13
2020-04-16,13
2020-04-17,13
2020-04-18,15
2020-04-19,17
2020-04-20,26
2020-04-21,13
2020-04-22,20
2020-04-23,19
2020-04-24,24
2020-04-25,13
2020-04-26,21
2020-04-27,26
2020-04-28,30
2020-04-29,27
2020-04-30,35
2020-05-01,29
2020-05-02,46
2020-05-03,42
2020-05-04,36
2020-05-05,40
2020-05-06,34
2020-05-07,28
2020-05-08,35
2020-05-09,49
2020-05-10,39
2020-05-11,45
2020-05-12,39
2020-05-13,54
2020-05-14,38
2020-05-15,40
2020-05-16,46
2020-05-17,44
2020-05-18,59
2020-05-19,53
2020-05-20,76
2020-05-21,54
2020-05-22,55
2020-05-23,47
2020-05-24,62
2020-05-25,80
2020-05-26,73
2020-05-27,74
2020-05-28,62
2020-05-29,80
2020-05-30,69
2020-05-31,68
2020-06-01,142
2020-06-02,106
2020-06-03,112
2020-06-04,112
2020-06-05,123
2020-06-06,99
2020-06-07,100
2020-06-08,134
2020-06-09,102
2020-06-10,127
2020-06-11,123
2020-06-12,132
2020-06-13,120
2020-06-14,145
2020-06-15,127
2020-06-16,125
2020-06-17,130
2020-06-18,122
2020-06-19,108
2020-06-20,112
2020-06-21,87
2020-06-22,80
2020-06-23,72
2020-06-24,49
2020-06-25,76
2020-06-26,55
2020-06-27,27
2020-06-28,26
2020-06-29,16
2020-06-30,16
2020-07-01,12
2020-07-02,7
2020-07-04,1
