"dt_sin_pri","n.casos"
2019-12-29,2
2019-12-31,1
2020-01-01,3
2020-01-02,4
2020-01-04,2
2020-01-05,1
2020-01-06,1
2020-01-07,2
2020-01-08,5
2020-01-09,2
2020-01-10,2
2020-01-11,1
2020-01-12,1
2020-01-13,2
2020-01-14,3
2020-01-15,5
2020-01-16,4
2020-01-17,1
2020-01-18,2
2020-01-19,1
2020-01-21,2
2020-01-22,3
2020-01-23,4
2020-01-24,2
2020-01-25,1
2020-01-26,3
2020-01-27,3
2020-01-28,1
2020-01-29,3
2020-01-30,1
2020-01-31,1
2020-02-01,3
2020-02-03,3
2020-02-04,2
2020-02-05,4
2020-02-06,4
2020-02-07,4
2020-02-08,3
2020-02-09,2
2020-02-10,5
2020-02-11,5
2020-02-12,4
2020-02-13,2
2020-02-14,2
2020-02-15,3
2020-02-16,5
2020-02-17,6
2020-02-18,4
2020-02-19,6
2020-02-20,6
2020-02-21,1
2020-02-22,2
2020-02-23,7
2020-02-24,8
2020-02-25,9
2020-02-26,8
2020-02-27,6
2020-02-28,6
2020-02-29,16
2020-03-01,9
2020-03-02,8
2020-03-03,9
2020-03-04,13
2020-03-05,7
2020-03-06,14
2020-03-07,12
2020-03-08,11
2020-03-09,24
2020-03-10,12
2020-03-11,17
2020-03-12,26
2020-03-13,25
2020-03-14,37
2020-03-15,34
2020-03-16,28
2020-03-17,28
2020-03-18,25
2020-03-19,43
2020-03-20,46
2020-03-21,26
2020-03-22,31
2020-03-23,35
2020-03-24,35
2020-03-25,31
2020-03-26,29
2020-03-27,40
2020-03-28,30
2020-03-29,27
2020-03-30,32
2020-03-31,32
2020-04-01,53
2020-04-02,37
2020-04-03,30
2020-04-04,45
2020-04-05,42
2020-04-06,32
2020-04-07,45
2020-04-08,40
2020-04-09,36
2020-04-10,77
2020-04-11,51
2020-04-12,43
2020-04-13,48
2020-04-14,59
2020-04-15,74
2020-04-16,67
2020-04-17,86
2020-04-18,86
2020-04-19,59
2020-04-20,67
2020-04-21,58
2020-04-22,58
2020-04-23,68
2020-04-24,80
2020-04-25,63
2020-04-26,71
2020-04-27,87
2020-04-28,77
2020-04-29,59
2020-04-30,90
2020-05-01,140
2020-05-02,82
2020-05-03,95
2020-05-04,100
2020-05-05,122
2020-05-06,97
2020-05-07,104
2020-05-08,122
2020-05-09,117
2020-05-10,141
2020-05-11,142
2020-05-12,133
2020-05-13,143
2020-05-14,149
2020-05-15,165
2020-05-16,163
2020-05-17,142
2020-05-18,147
2020-05-19,136
2020-05-20,167
2020-05-21,167
2020-05-22,161
2020-05-23,126
2020-05-24,153
2020-05-25,218
2020-05-26,139
2020-05-27,173
2020-05-28,145
2020-05-29,158
2020-05-30,145
2020-05-31,136
2020-06-01,230
2020-06-02,174
2020-06-03,161
2020-06-04,184
2020-06-05,168
2020-06-06,181
2020-06-07,158
2020-06-08,171
2020-06-09,162
2020-06-10,203
2020-06-11,138
2020-06-12,180
2020-06-13,156
2020-06-14,179
2020-06-15,185
2020-06-16,158
2020-06-17,165
2020-06-18,143
2020-06-19,164
2020-06-20,196
2020-06-21,156
2020-06-22,188
2020-06-23,132
2020-06-24,132
2020-06-25,139
2020-06-26,163
2020-06-27,110
2020-06-28,122
2020-06-29,150
2020-06-30,148
2020-07-01,166
2020-07-02,126
2020-07-03,103
2020-07-04,90
2020-07-05,83
2020-07-06,92
2020-07-07,83
2020-07-08,70
2020-07-09,42
2020-07-10,41
2020-07-11,26
2020-07-12,14
2020-07-13,12
2020-07-14,1
