"dt_evoluca","n.casos"
2020-04-03,1
2020-04-06,1
2020-04-09,1
2020-04-11,1
2020-04-17,2
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-23,1
2020-04-24,1
2020-04-25,2
2020-05-05,1
2020-05-09,1
2020-05-16,1
2020-05-17,1
2020-05-19,1
2020-05-20,1
2020-05-21,1
2020-05-27,1
2020-05-28,1
2020-05-29,1
2020-05-30,2
2020-06-01,1
2020-06-02,3
2020-06-03,2
2020-06-04,1
2020-06-07,3
2020-06-08,1
2020-06-10,1
2020-06-12,2
2020-06-13,4
2020-06-14,6
2020-06-15,1
2020-06-16,2
2020-06-17,4
2020-06-18,1
2020-06-19,1
2020-06-20,4
2020-06-21,1
2020-06-22,3
2020-06-24,1
2020-06-25,5
2020-06-26,2
2020-06-27,1
2020-06-28,1
2020-06-29,3
2020-07-01,3
2020-07-02,1
2020-07-03,1
