Nome_UF,UF,Região
Acre,AC,Norte
Alagoas,AL,Nordeste
Amapá,AP,Norte
Amazonas,AM,Norte
Bahia,BA,Nordeste
Ceará,CE,Nordeste
Distrito Federal,DF,Centro-Oeste
Espírito Santo,ES,Sudeste
Goiás,GO,Centro-Oeste
Maranhão,MA,Nordeste
Mato Grosso,MT,Centro-Oeste
Mato Grosso do Sul,MS,Centro-Oeste
Minas Gerais,MG,Sudeste
Pará,PA,Norte
Paraíba,PB,Nordeste
Paraná,PR,Sul
Pernambuco,PE,Nordeste
Piauí,PI,Nordeste
Rio de Janeiro,RJ,Sudeste
Rio Grande do Norte,RN,Nordeste
Rio Grande do Sul,RS,Sul
Rondônia,RO,Norte
Roraima,RR,Norte
Santa Catarina,SC,Sul
São Paulo,SP,Sudeste
Sergipe,SE,Nordeste
Tocantins,TO,Norte

