"dt_notific","n.notific"
2020-03-19,1
2020-03-20,1
2020-03-22,1
2020-03-23,2
2020-03-25,6
2020-03-26,4
2020-03-27,4
2020-03-28,4
2020-03-29,3
2020-03-30,6
2020-03-31,9
2020-04-01,15
2020-04-02,16
2020-04-03,16
2020-04-04,19
2020-04-05,16
2020-04-06,29
2020-04-07,21
2020-04-08,14
2020-04-09,35
2020-04-10,36
2020-04-11,22
2020-04-12,43
2020-04-13,43
2020-04-14,48
2020-04-15,49
2020-04-16,43
2020-04-17,52
2020-04-18,43
2020-04-19,45
2020-04-20,62
2020-04-21,43
2020-04-22,66
2020-04-23,65
2020-04-24,61
2020-04-25,45
2020-04-26,37
2020-04-27,62
2020-04-28,68
2020-04-29,67
2020-04-30,51
2020-05-01,52
2020-05-02,55
2020-05-03,42
2020-05-04,79
2020-05-05,66
2020-05-06,61
2020-05-07,63
2020-05-08,47
2020-05-09,44
2020-05-10,38
2020-05-11,53
2020-05-12,43
2020-05-13,41
2020-05-14,39
2020-05-15,43
2020-05-16,24
2020-05-17,25
2020-05-18,46
2020-05-19,28
2020-05-20,33
2020-05-21,28
2020-05-22,40
2020-05-23,19
2020-05-24,13
2020-05-25,29
2020-05-26,20
2020-05-27,16
2020-05-28,11
2020-05-29,13
2020-05-30,13
2020-05-31,10
2020-06-01,22
2020-06-02,11
2020-06-03,21
2020-06-04,6
2020-06-05,15
2020-06-06,13
2020-06-07,3
2020-06-08,7
2020-06-09,12
2020-06-10,10
2020-06-11,10
2020-06-12,8
2020-06-13,9
2020-06-14,8
2020-06-15,9
2020-06-16,8
2020-06-17,9
2020-06-18,3
2020-06-19,6
2020-06-20,7
2020-06-21,1
2020-06-22,9
2020-06-23,2
2020-06-24,5
2020-06-27,3
2020-06-28,1
