"dt_sin_pri","n.casos"
2020-01-14,1
2020-01-24,1
2020-01-26,1
2020-01-28,3
2020-02-01,1
2020-02-03,1
2020-02-05,1
2020-02-09,1
2020-02-11,1
2020-02-12,2
2020-02-13,1
2020-02-17,3
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,3
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,7
2020-03-04,1
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,6
2020-03-11,6
2020-03-12,6
2020-03-13,6
2020-03-14,7
2020-03-15,14
2020-03-16,8
2020-03-17,9
2020-03-18,17
2020-03-19,22
2020-03-20,18
2020-03-21,14
2020-03-22,15
2020-03-23,16
2020-03-24,22
2020-03-25,21
2020-03-26,20
2020-03-27,20
2020-03-28,19
2020-03-29,12
2020-03-30,13
2020-03-31,17
2020-04-01,21
2020-04-02,22
2020-04-03,25
2020-04-04,21
2020-04-05,18
2020-04-06,24
2020-04-07,11
2020-04-08,20
2020-04-09,22
2020-04-10,30
2020-04-11,18
2020-04-12,21
2020-04-13,20
2020-04-14,11
2020-04-15,31
2020-04-16,31
2020-04-17,23
2020-04-18,34
2020-04-19,27
2020-04-20,27
2020-04-21,14
2020-04-22,25
2020-04-23,26
2020-04-24,26
2020-04-25,26
2020-04-26,31
2020-04-27,20
2020-04-28,20
2020-04-29,17
2020-04-30,30
2020-05-01,49
2020-05-02,31
2020-05-03,18
2020-05-04,34
2020-05-05,29
2020-05-06,23
2020-05-07,27
2020-05-08,22
2020-05-09,31
2020-05-10,30
2020-05-11,36
2020-05-12,22
2020-05-13,26
2020-05-14,19
2020-05-15,39
2020-05-16,32
2020-05-17,29
2020-05-18,37
2020-05-19,16
2020-05-20,32
2020-05-21,21
2020-05-22,21
2020-05-23,22
2020-05-24,23
2020-05-25,19
2020-05-26,14
2020-05-27,21
2020-05-28,20
2020-05-29,12
2020-05-30,18
2020-05-31,12
2020-06-01,11
2020-06-02,4
2020-06-03,8
2020-06-04,3
