
 Projeções para 01/10/2020 


|       | Prevalência %| IFR %| Prevalência projetada|
|:------|-------------:|-----:|---------------------:|
|IC low |           9.2| 1.101|                  13.9|
|Média  |          11.4| 0.889|                  17.2|
|IC up  |          13.6| 0.745|                  20.5|


|       | Prevalência %| IHR %| Prevalência projetada|
|:------|-------------:|-----:|---------------------:|
|IC low |           9.2| 3.950|                  14.4|
|Média  |          11.4| 3.187|                  17.8|
|IC up  |          13.6| 2.672|                  21.3|

 Projeções para 01/12/2020 


|       | Prevalência %| IFR %| Prevalência projetada|
|:------|-------------:|-----:|---------------------:|
|IC low |           9.2| 1.101|                  15.6|
|Média  |          11.4| 0.889|                  19.3|
|IC up  |          13.6| 0.745|                  23.0|


|       | Prevalência %| IHR %| Prevalência projetada|
|:------|-------------:|-----:|---------------------:|
|IC low |           9.2| 3.950|                  16.9|
|Média  |          11.4| 3.187|                  20.9|
|IC up  |          13.6| 2.672|                  24.9|

 Projeções para 03/01/2021 


|       | Prevalência %| IFR %| Prevalência projetada|
|:------|-------------:|-----:|---------------------:|
|IC low |           9.2| 1.101|                  17.3|
|Média  |          11.4| 0.889|                  21.4|
|IC up  |          13.6| 0.745|                  25.5|


|       | Prevalência %| IHR %| Prevalência projetada|
|:------|-------------:|-----:|---------------------:|
|IC low |           9.2| 3.950|                  19.0|
|Média  |          11.4| 3.187|                  23.5|
|IC up  |          13.6| 2.672|                  28.0|
