Data,mortes registradas por dia (anuncio oficial),15/4/2020,14/4/2020,13/4/2020,11/4/2020,10/4/2020,8/4/2020,7/4/2020,6/4/2020,5/4/2020,4/4/2020,2/4/2020,30/3/2020,29/3/2020
15/3/2020,,1,1,1,1,1,1,1,1,1,1,1,,
16/3/2020,,3,3,3,3,3,3,3,3,3,3,2,2,2
17/3/2020,1,3,2,2,2,2,1,1,1,1,1,2,2,2
18/3/2020,3,5,5,5,5,5,4,4,4,4,4,4,4,4
19/3/2020,2,7,7,7,7,7,7,7,7,7,7,7,6,6
20/3/2020,5,10,9,9,9,9,8,8,8,8,8,7,6,6
21/3/2020,7,12,11,11,11,11,10,10,10,10,10,10,9,9
22/3/2020,7,13,13,13,13,13,13,13,13,12,12,10,8,8
23/3/2020,9,27,27,27,27,27,24,20,20,20,18,17,15,12
24/3/2020,12,26,25,23,23,23,22,20,18,17,15,17,12,12
25/3/2020,11,26,25,25,25,25,25,24,21,21,20,17,14,13
26/3/2020,20,31,31,30,29,29,27,28,27,26,25,20,14,14
27/3/2020,15,33,30,30,29,29,28,27,25,25,23,15,11,11
28/3/2020,22,44,41,41,39,36,34,33,33,34,31,28,15,13
29/3/2020,22,48,46,45,46,45,45,42,43,41,37,30,14,7
30/3/2020,23,52,51,47,46,43,42,36,33,33,33,27,2,
31/3/2020,42,64,59,55,54,52,46,39,32,27,26,20,,
1/4/2020,40,61,57,53,53,52,45,36,35,32,29,15,,
2/4/2020,58,71,67,56,54,51,48,36,27,26,26,5,,
3/4/2020,60,77,71,64,63,58,41,35,25,21,17,,,
4/4/2020,73,85,80,75,71,65,49,44,27,11,,,,
5/4/2020,54,90,86,78,71,69,51,42,20,6,,,,
6/4/2020,67,80,73,71,70,64,46,31,5,,,,,
7/4/2020,114,81,71,61,53,50,25,4,,,,,,
8/4/2020,133,79,70,57,53,45,3,,,,,,,
9/4/2020,141,60,50,44,32,22,,,,,,,,
10/4/2020,115,67,58,47,31,3,,,,,,,,
11/4/2020,68,69,54,39,13,,,,,,,,,
12/4/2020,99,78,57,25,,,,,,,,,,
13/4/2020,105,67,37,6,,,,,,,,,,
14/4/2020,204,25,5,,,,,,,,,,,
15/4/2020,204,10,,,,,,,,,,,,
