"dt_notific","n.notific"
2020-01-02,3
2020-01-06,4
2020-01-07,2
2020-01-08,2
2020-01-09,4
2020-01-10,3
2020-01-11,1
2020-01-13,9
2020-01-14,3
2020-01-15,3
2020-01-16,4
2020-01-17,3
2020-01-20,7
2020-01-21,8
2020-01-22,5
2020-01-23,1
2020-01-24,2
2020-01-27,9
2020-01-28,6
2020-01-29,4
2020-01-30,4
2020-02-02,1
2020-02-03,3
2020-02-04,4
2020-02-05,1
2020-02-06,5
2020-02-10,10
2020-02-11,4
2020-02-12,1
2020-02-13,1
2020-02-14,3
2020-02-17,7
2020-02-18,5
2020-02-19,5
2020-02-20,6
2020-02-21,5
2020-02-22,5
2020-02-23,3
2020-02-24,7
2020-02-25,6
2020-02-26,6
2020-02-27,7
2020-02-28,9
2020-02-29,1
2020-03-01,1
2020-03-02,12
2020-03-03,7
2020-03-04,4
2020-03-05,8
2020-03-06,2
2020-03-09,12
2020-03-10,7
2020-03-11,10
2020-03-12,10
2020-03-13,10
2020-03-14,3
2020-03-15,7
2020-03-16,17
2020-03-17,28
2020-03-18,26
2020-03-19,20
2020-03-20,47
2020-03-21,41
2020-03-22,28
2020-03-23,58
2020-03-24,70
2020-03-25,53
2020-03-26,56
2020-03-27,65
2020-03-28,36
2020-03-29,49
2020-03-30,76
2020-03-31,66
2020-04-01,54
2020-04-02,45
2020-04-03,55
2020-04-04,48
2020-04-05,66
2020-04-06,93
2020-04-07,63
2020-04-08,135
2020-04-09,87
2020-04-10,75
2020-04-11,87
2020-04-12,91
2020-04-13,141
2020-04-14,181
2020-04-15,156
2020-04-16,144
2020-04-17,124
2020-04-18,135
2020-04-19,108
2020-04-20,210
2020-04-21,122
2020-04-22,220
2020-04-23,251
2020-04-24,229
2020-04-25,175
2020-04-26,184
2020-04-27,292
2020-04-28,263
2020-04-29,179
2020-04-30,263
2020-05-01,181
2020-05-02,181
2020-05-03,217
2020-05-04,295
2020-05-05,243
2020-05-06,272
2020-05-07,273
2020-05-08,254
2020-05-09,161
2020-05-10,156
2020-05-11,309
2020-05-12,335
2020-05-13,290
2020-05-14,271
2020-05-15,222
2020-05-16,134
2020-05-17,171
2020-05-18,284
2020-05-19,290
2020-05-20,314
2020-05-21,295
2020-05-22,263
2020-05-23,188
2020-05-24,174
2020-05-25,324
2020-05-26,267
2020-05-27,174
2020-05-28,227
2020-05-29,200
2020-05-30,159
2020-05-31,112
2020-06-01,194
2020-06-02,205
2020-06-03,204
2020-06-04,168
2020-06-05,151
2020-06-06,81
2020-06-07,84
2020-06-08,185
2020-06-09,191
2020-06-10,134
2020-06-11,136
2020-06-12,148
2020-06-13,71
2020-06-14,66
2020-06-15,124
2020-06-16,119
2020-06-17,110
2020-06-18,110
2020-06-19,92
2020-06-20,70
2020-06-21,44
2020-06-22,110
2020-06-23,72
2020-06-24,55
2020-06-25,63
2020-06-26,59
2020-06-27,31
2020-06-28,23
2020-06-29,15
2020-06-30,1
