"estimate","lower","upper","onset_date","n.reported"
62,62,62,2020-03-28,62
67,67,67,2020-03-29,67
62,62,62,2020-03-30,62
75,75,75,2020-03-31,75
80,80,80,2020-04-01,80
82,82,82,2020-04-02,82
78,78,78,2020-04-03,78
101,101,101,2020-04-04,101
91,91,91,2020-04-05,91
98,98,98,2020-04-06,98
115,113,119,2020-04-07,113
83,81,87,2020-04-08,81
62,59,67,2020-04-09,59
86,82,91,2020-04-10,82
82,77,88,2020-04-11,77
86,80,92,2020-04-12,79
100,94,107,2020-04-13,91
77,71,85,2020-04-14,67
95,88,104,2020-04-15,83
87,79,96,2020-04-16,72
105,96,115,2020-04-17,87
105,95,116,2020-04-18,84
104,94,116,2020-04-19,80
112,101,124,2020-04-20,84
98,86,111,2020-04-21,68
114,102,129,2020-04-22,80
137,124,153,2020-04-23,98
116,102,132,2020-04-24,75
106,92,123,2020-04-25,62
130,115,149,2020-04-26,79
133,115.975,152,2020-04-27,74
150,131,171,2020-04-28,81
173,151,197,2020-04-29,94
139,118,163,2020-04-30,60
145,123,170,2020-05-01,62
141,118,167,2020-05-02,52
161,136,189,2020-05-03,62
149,122,178,2020-05-04,45
152,124,185,2020-05-05,42
131,97,170,2020-05-06,14
