"dt_evoluca","n.casos"
2020-01-09,1
2020-01-23,1
2020-01-24,1
2020-02-04,1
2020-02-07,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-21,1
2020-02-22,1
2020-02-24,1
2020-02-25,1
2020-03-01,1
2020-03-03,1
2020-03-05,1
2020-03-10,1
2020-03-12,2
2020-03-13,2
2020-03-14,1
2020-03-15,3
2020-03-16,5
2020-03-17,2
2020-03-18,5
2020-03-19,6
2020-03-20,12
2020-03-21,19
2020-03-22,11
2020-03-23,24
2020-03-24,28
2020-03-25,16
2020-03-26,36
2020-03-27,42
2020-03-28,39
2020-03-29,36
2020-03-30,42
2020-03-31,63
2020-04-01,59
2020-04-02,61
2020-04-03,65
2020-04-04,64
2020-04-05,72
2020-04-06,64
2020-04-07,76
2020-04-08,62
2020-04-09,59
2020-04-10,68
2020-04-11,56
2020-04-12,62
2020-04-13,71
2020-04-14,74
2020-04-15,55
2020-04-16,56
2020-04-17,59
2020-04-18,67
2020-04-19,61
2020-04-20,70
2020-04-21,58
2020-04-22,70
2020-04-23,72
2020-04-24,59
2020-04-25,59
2020-04-26,73
2020-04-27,69
2020-04-28,83
2020-04-29,72
2020-04-30,72
2020-05-01,101
2020-05-02,68
2020-05-03,81
2020-05-04,81
2020-05-05,84
2020-05-06,76
2020-05-07,104
2020-05-08,100
2020-05-09,108
2020-05-10,90
2020-05-11,88
2020-05-12,102
2020-05-13,93
2020-05-14,90
2020-05-15,78
2020-05-16,94
2020-05-17,84
2020-05-18,95
2020-05-19,85
2020-05-20,90
2020-05-21,87
2020-05-22,84
2020-05-23,97
2020-05-24,66
2020-05-25,75
2020-05-26,79
2020-05-27,88
2020-05-28,52
2020-05-29,60
2020-05-30,65
2020-05-31,49
2020-06-01,68
2020-06-02,51
2020-06-03,42
2020-06-04,32
2020-06-05,18
2020-06-06,9
2020-06-07,5
